"_STATUS","Position","Ticker Symbol-4","_PREV_Ticker Symbol-4","Earnings Time-4","_PREV_Earnings Time-4","_PREV_Position"
"CHANGED",1,"BABA","ROKU","--","amc",
"CHANGED",2,"WMT","TWLO","bmo","amc",
"CHANGED",3,"ETSY","AMAT","bmo","amc",
"CHANGED",4,"SO","ANET","bmo","amc",
"CHANGED",5,"DBX","CYBR","amc","--",
"CHANGED",6,"DE","PANW","bmo","--",
"CHANGED",7,"CC","PCG","amc","bmo",
"CHANGED",8,"AKAM","CROX","amc","bmo",
"CHANGED",9,"TNDM","TRIP","amc","bmo",
"CHANGED",10,"ALRM","WYNN","amc",,
"CHANGED",11,"OLED","IRM","amc","bmo",
"CHANGED",12,"RIG","NMM","amc","--",
"CHANGED",13,"NEM","HIMX","amc","bmo",
"CHANGED",14,"ED","DE","amc","--",
"CHANGED",15,"GLPI","BTI","amc","--",
"CHANGED",16,"MTLS","AEP","bmo",,
"CHANGED",17,"EVRG","DXCM","bmo","amc",
"CHANGED",18,"ATHM","HTZ","--",,
"CHANGED",19,"CNP","VRTX","bmo","amc",
"CHANGED",20,"INSG","EXC","amc","bmo",
"CHANGED",21,"W","VNDA","bmo","--",
"CHANGED",22,"BILI","BCS","--",,
"CHANGED",23,"MELI","ZBRA","--","bmo",
"CHANGED",24,"RNG","HMC","amc","--",
"CHANGED",25,"APPN","ZTS","bmo",,
"CHANGED",26,"NICE","YELP","bmo","amc",
"CHANGED",27,"BJRI","KIM","--","bmo",
"CHANGED",28,"SFM","TRN","amc","bmo",
"CHANGED",29,"ITGR","GT","bmo","--",
"CHANGED",30,"YETI","BAX","bmo",,
"CHANGED",31,"CQP","IRMD","--",,
"CHANGED",32,"AG","IR","--","amc",
"CHANGED",33,"HLIT","EXPE","amc",,
"CHANGED",34,"AMN","HCC","amc",,
"CHANGED",35,"FIVN","UL","amc","--",
"CHANGED",36,"FUN","IPGP","bmo",,
"CHANGED",37,"CVE","DTE","--",,
"CHANGED",38,"COLD","ES","bmo","amc",
"CHANGED",39,"GH","AEM","amc",,
"CHANGED",40,"TRGP","BFAM","bmo","amc",
"CHANGED",41,"EGO","MHK","--","bmo",
"CHANGED",42,"CPRT","HTGC","--","amc",
"CHANGED",43,"AXTI","HL","amc","--",
"CHANGED",44,"FG","GDDY","amc","--",
"CHANGED",45,"LYV","PSA","amc",,
"CHANGED",46,"FIX","AL","--",,
"CHANGED",47,"TECK","NSRGY","bmo","--",
"CHANGED",48,"LKQ","IRDM","bmo",,
"CHANGED",49,"GTX","FRT","bmo","amc",
"CHANGED",50,"GMED","ALNY","--","bmo",
"CHANGED",51,"CENX","HRI","amc","--",
"CHANGED",52,"BCC","CBRE","--","bmo",
"CHANGED",53,"TXRH","FTS","amc","bmo",
"CHANGED",54,"GLOB","HASI","--","amc",
"CHANGED",55,"DVAX","CTRE","--","amc",
"CHANGED",56,"RGEN","FLO","--","amc",
"CHANGED",57,"PWR","CHKP","bmo",,
"CHANGED",58,"EPAM","LNC","bmo",,
"CHANGED",59,"IDA","QSR","bmo",,
"CHANGED",60,"EXR","TU","amc","--",
"CHANGED",61,"LNT","PTN","amc","--",
"CHANGED",62,"CARG","ASX","amc","--",
"CHANGED",63,"TV","BRKR","--",,
"CHANGED",64,"ZEUS","GPN","--",,
"CHANGED",65,"ACCO","GEO","--","bmo",
"CHANGED",66,"PK","PBF","amc","bmo",
"CHANGED",67,"EADSY","SIEGY","--",,
"CHANGED",68,"SBGSY","MTRN","--","bmo",
"CHANGED",69,"ZURVY","AGIO","--","bmo",
"CHANGED",70,"NU","COHU","--",,
"CHANGED",71,"MBGYY","TSLX","--","amc",
"CHANGED",72,"NGLOY","FMCC","--",,
"CHANGED",73,"GFI","DBD","--","bmo",
"CHANGED",74,"INSM","JCAP","bmo","--",
"CHANGED",75,"BDORY","CAE","--","amc",
"CHANGED",76,"FTI","SCMWY","bmo","--",
"CHANGED",77,"REPYY","SONY","--",,
"CHANGED",78,"CIB","BN","--","bmo",
"CHANGED",79,"GRAB","HWM","--","bmo",
"CHANGED",80,"FNF","ABNB","amc",,
"CHANGED",81,"KLAR","RELX","bmo","--",
"CHANGED",82,"ULS","JAPAY","bmo","--",
"CHANGED",83,"ACCYY","KBCSY","--",,
"CHANGED",84,"DTM","WMMVY","bmo","--",
"CHANGED",85,"CELH","COIN","--","amc",
"CHANGED",86,"BBIO","ORANY","--",,
"CHANGED",87,"CPYYY","ADYEY","--",,
"CHANGED",88,"AMH","LGRDY","amc","--",
"CHANGED",89,"RNLSY","FRFHF","--",,
"CHANGED",90,"MDGL","BAP","bmo","amc",
"CHANGED",91,"LKNCY","IPXHY","--",,
"CHANGED",92,"POOL","DWAHY","bmo","--",
"CHANGED",93,"ONTO","WAT","amc","bmo",
"CHANGED",94,"ESAB","CCHGY","--",,
"CHANGED",95,"FND","TRUMY","amc","--",
"CHANGED",96,"GATX","USFD","bmo",,
"CHANGED",97,"CWST","RIVN","amc",,
"CHANGED",98,"VICR","BDRBF","amc","bmo",
"CHANGED",99,"PTCT","KUBTY","amc","--",
"CHANGED",100,"MONDY","BNT","--",,
"CHANGED",101,"AVAL","WST","--","bmo",
"CHANGED",102,"ST","TOST","amc",,
"CHANGED",103,"LMND","TRU","bmo",,
"CHANGED",104,"LAUR","H","bmo",,
"CHANGED",105,"CHH","PINS","bmo","amc",
"CHANGED",106,"BKEAY","DKNG","--","amc",
"CHANGED",107,"HHH","LECO","amc","bmo",
"CHANGED",108,"IRTC","NVMI","amc","bmo",
"CHANGED",109,"ZLDPF","IPSEY","--",,
"CHANGED",110,"VAL","RKUNY","bmo",,
"CHANGED",111,"WK","RYAN","amc",,
"CHANGED",112,"PRM","ORKLY","--",,
"CHANGED",113,"WSC","ORINY","amc","bmo",
"CHANGED",114,"ICUI","SHWDY","amc","--",
"CHANGED",115,"GRAL","UNICY","--",,
"CHANGED",116,"OPEN","CART","amc",,
"CHANGED",117,"CWK","BROS","bmo","amc",
"CHANGED",118,"CGAU","KNSL","amc",,
"CHANGED",119,"HG","PCOR","amc",,
"CHANGED",120,"DBRG","NSANY","--",,
"CHANGED",121,"VC","BIO.B","bmo","amc",
"CHANGED",122,"VTMX","TKAMY","amc","--",
"CHANGED",123,"TVTX","MORN","--","amc",
"CHANGED",124,"BOWFF","BIO","--","amc",
"CHANGED",125,"TLX","GECFF","amc","--",
"CHANGED",126,"ASAIY","BIRK","--","bmo",
"CHANGED",127,"PRDO","FBIN","amc",,
"CHANGED",128,"SEM","FROG","amc",,
"CHANGED",129,"AGM","GTES","amc","bmo",
"CHANGED",130,"MD","HR","--","amc",
"CHANGED",131,"XPRO","VNT","bmo",,
"CHANGED",132,"SVV","STUB","amc","--",
"CHANGED",133,"ARDX","GVA","amc","bmo",
"CHANGED",134,"WKC","RICOY","amc","--",
"CHANGED",135,"LZ","NIQ","amc","--",
"CHANGED",136,"CRAI","CNR","--","bmo",
"CHANGED",137,"DMLP","SEB","--",,
"CHANGED",138,"UPBD","BDC","bmo",,
"CHANGED",139,"NABL","HRIBF","bmo","--",
"CHANGED",140,"EIG","ARCAY","amc","--",
"CHANGED",141,"THRM","ALH","bmo","--",
"CHANGED",142,"BBDC","JPSWY","amc","--",
"CHANGED",143,"PLSE","BGC","amc","bmo",
"CHANGED",144,"ASIC","ACDVF","amc","--",
"CHANGED",145,"TDAY","MAURY","--",,
"CHANGED",146,"MTUS","AHL","amc","--",
"CHANGED",147,"ALIT","AUOTY","bmo","--",
"CHANGED",148,"INDI","AVNT","amc","bmo",
"CHANGED",149,"PKST","STNG","--","bmo",
"CHANGED",150,"DGICA","LIOPF","bmo","--",
"CHANGED",151,"TALK","LXP","bmo",,
"CHANGED",152,"DGICB","IDYA","bmo","--",
"CHANGED",153,"CTO","TNET","amc","bmo",
"CHANGED",154,"FET","PHIN","amc","bmo",
"CHANGED",155,"WEAV","TXG","amc",,
"CHANGED",156,"PRTA","OUTKY","--",,
"CHANGED",157,"UP","FFXDF","bmo","--",
"CHANGED",158,"CERS","RARE","--",,
"CHANGED",159,"BAND","OGN","bmo",,
"CHANGED",160,"VOXR","WD","--",,
"CHANGED",161,"RMNI","GEL","amc","--",
"CHANGED",162,"DAVA","SLVM","bmo",,
"CHANGED",163,"PDYN","AORT","--","amc",
"CHANGED",164,"KLTR","BLX","--","amc",
"CHANGED",165,"JAKK","NNE","amc","--",
"CHANGED",166,"GHI","DNOW","--",,
"CHANGED",167,"STRW","UTZ","amc","bmo",
"CHANGED",168,"ACH","SOC","amc","--",
"CHANGED",169,"RMAX","TRUP","amc",,
"CHANGED",170,"RXT","PDFS","--","amc",
"CHANGED",171,"BURCA","SLGGF","--",,
"CHANGED",172,"LIDR","AEBI","--",,
"CHANGED",173,"WFCF","CPAC","--",,
"CHANGED",174,"UEIC","NMAX","--",,
"CHANGED",175,"PSHG","WYFI","--",,
"CHANGED",176,"INNI","GAU","--","amc",
"CHANGED",177,"TPICQ","DRUG","--",,
"CHANGED",178,"LICT","OPTU","--",,
"CHANGED",179,"HSHP","USNZY","--",,
"CHANGED",180,"EGIEY","PACB","--","amc",
"CHANGED",181,"NEXA","ECX","--","bmo",
"CHANGED",182,"WLMIY","ANGX","--",,
"CHANGED",183,"BESIY","CPS","--","amc",
"CHANGED",184,"PKSGY","FWDI","--",,
"REMOVED",,,"PURR",,"--",185
"REMOVED",,,"LPTH",,"--",186
"REMOVED",,,"NUS",,"amc",187
"REMOVED",,,"UETMF",,"--",188
"REMOVED",,,"ELVA",,"--",189
"REMOVED",,,"ASC",,"--",190
"REMOVED",,,"ITIC",,"--",191
"REMOVED",,,"KELYB",,"--",192
"REMOVED",,,"ELTP",,"--",193
"REMOVED",,,"ONIT",,"bmo",194
"REMOVED",,,"AENT",,"amc",195
"REMOVED",,,"KELYA",,"--",196
"REMOVED",,,"MVBF",,"--",197
"REMOVED",,,"ISSC",,"bmo",198
"REMOVED",,,"CNCK",,"amc",199
"REMOVED",,,"CLW",,"--",200
"REMOVED",,,"CV",,"--",201
"REMOVED",,,"CMRC",,"bmo",202
"REMOVED",,,"TCX",,"--",203
"REMOVED",,,"INV",,"--",204
"REMOVED",,,"ELME",,"--",205
"REMOVED",,,"CVRX",,"amc",206
"REMOVED",,,"NEXM",,"--",207
"REMOVED",,,"FORR",,"amc",208
"REMOVED",,,"MERC",,"amc",209
"REMOVED",,,"CBIO",,"--",210
"REMOVED",,,"RCEL",,"--",211
"REMOVED",,,"TTRX",,"--",212
"REMOVED",,,"LGCY",,"amc",213
"REMOVED",,,"IMPP",,"--",214
"REMOVED",,,"CGEH",,"--",215
"REMOVED",,,"RENEF",,"--",216
"REMOVED",,,"MLCI",,"--",217
"REMOVED",,,"NOEM",,"--",218
"REMOVED",,,"ATOM",,"amc",219
"REMOVED",,,"PEW",,"--",220
"REMOVED",,,"RSSS",,"amc",221
"REMOVED",,,"HNNA",,"--",222
"REMOVED",,,"BENF",,"--",223
"REMOVED",,,"GRWC",,"--",224
"REMOVED",,,"XBOTF",,"--",225
"REMOVED",,,"GRCE",,"--",226
"REMOVED",,,"LVO",,"--",227
"REMOVED",,,"APTL",,"--",228
"REMOVED",,,"TRT",,"--",229
"REMOVED",,,"FEAM",,"--",230
"REMOVED",,,"GGR",,"bmo",231
"REMOVED",,,"VERU",,"--",232
"REMOVED",,,"NTWK",,"--",233
"REMOVED",,,"CNVS",,"--",234
"REMOVED",,,"POCI",,"--",235
"REMOVED",,,"MODD",,"--",236
"REMOVED",,,"JOB",,"--",237
"REMOVED",,,"RAIN",,"--",238
"REMOVED",,,"VTGN",,"--",239
"REMOVED",,,"GREE",,"--",240
"REMOVED",,,"VRAR",,"--",241
"REMOVED",,,"CSAI",,"--",242
"REMOVED",,,"LIMN",,"--",243
"REMOVED",,,"APCX",,"--",244
"REMOVED",,,"RBNE",,"--",245
"REMOVED",,,"PMNT",,"bmo",246
"REMOVED",,,"INBS",,"--",247
"REMOVED",,,"DTSS",,"--",248
"REMOVED",,,"BLIN",,"--",249
"REMOVED",,,"INBP",,"--",250
"REMOVED",,,"MARPS",,"--",251
"REMOVED",,,"CARV",,"--",252
"REMOVED",,,"TIKK",,"--",253
"REMOVED",,,"YCBD",,"--",254
"REMOVED",,,"MITQ",,"--",255
"REMOVED",,,"BNBX",,"--",256
"REMOVED",,,"IPW",,"--",257
"REMOVED",,,"AMIX",,"--",258
"REMOVED",,,"MITI",,"--",259
"REMOVED",,,"SBIG",,"--",260
"REMOVED",,,"SANW",,"--",261
"REMOVED",,,"OPITQ",,"--",262
"REMOVED",,,"TYEKF",,"--",263
"REMOVED",,,"INFA",,"--",264
